lambda      alk
1.18086e+00 2.93232e+00
1.18231e+00 2.92605e+00
1.18375e+00 2.91981e+00
1.18520e+00 2.91358e+00
1.18664e+00 2.90736e+00
1.18809e+00 2.90116e+00
1.18954e+00 2.89497e+00
1.19100e+00 2.88880e+00
1.19245e+00 2.88265e+00
1.19391e+00 2.87651e+00
1.19537e+00 2.87038e+00
1.19683e+00 2.86427e+00
1.19829e+00 2.85817e+00
1.19975e+00 2.85208e+00
1.20122e+00 2.84601e+00
1.20269e+00 2.83995e+00
1.20415e+00 2.83391e+00
1.20563e+00 2.82788e+00
1.20710e+00 2.82186e+00
1.20857e+00 2.81585e+00
1.21005e+00 2.80985e+00
1.21153e+00 2.80387e+00
1.21301e+00 2.79790e+00
1.21449e+00 2.79194e+00
1.21597e+00 2.78599e+00
1.21746e+00 2.78005e+00
1.21894e+00 2.77412e+00
1.22043e+00 2.76820e+00
1.22192e+00 2.76230e+00
1.22342e+00 2.75640e+00
1.22491e+00 2.75051e+00
1.22641e+00 2.74463e+00
1.22791e+00 2.73877e+00
1.22941e+00 2.73291e+00
1.23091e+00 2.72705e+00
1.23241e+00 2.72121e+00
1.23392e+00 2.71538e+00
1.23542e+00 2.70955e+00
1.23693e+00 2.70373e+00
1.23844e+00 2.69792e+00
1.23996e+00 2.69212e+00
1.24147e+00 2.68632e+00
1.24299e+00 2.68053e+00
1.24450e+00 2.67475e+00
1.24602e+00 2.66897e+00
1.24755e+00 2.66320e+00
1.24907e+00 2.65744e+00
1.25060e+00 2.65169e+00
1.25212e+00 2.64595e+00
1.25365e+00 2.64021e+00
1.25518e+00 2.63448e+00
1.25672e+00 2.62876e+00
1.25825e+00 2.62304e+00
1.25979e+00 2.61733e+00
1.26133e+00 2.61163e+00
1.26287e+00 2.60594e+00
1.26441e+00 2.60025e+00
1.26596e+00 2.59458e+00
1.26750e+00 2.58891e+00
1.26905e+00 2.58324e+00
1.27060e+00 2.57759e+00
1.27215e+00 2.57194e+00
1.27371e+00 2.56630e+00
1.27526e+00 2.56067e+00
1.27682e+00 2.55505e+00
1.27838e+00 2.54943e+00
1.27994e+00 2.54383e+00
1.28150e+00 2.53823e+00
1.28307e+00 2.53264e+00
1.28464e+00 2.52705e+00
1.28621e+00 2.52148e+00
1.28778e+00 2.51591e+00
1.28935e+00 2.51035e+00
1.29093e+00 2.50479e+00
1.29250e+00 2.49925e+00
1.29408e+00 2.49371e+00
1.29566e+00 2.48819e+00
1.29724e+00 2.48267e+00
1.29883e+00 2.47715e+00
1.30042e+00 2.47165e+00
1.30200e+00 2.46616e+00
1.30359e+00 2.46067e+00
1.30519e+00 2.45519e+00
1.30678e+00 2.44972e+00
1.30838e+00 2.44426e+00
1.30998e+00 2.43880e+00
1.31158e+00 2.43335e+00
1.31318e+00 2.42792e+00
1.31478e+00 2.42249e+00
1.31639e+00 2.41707e+00
1.31800e+00 2.41165e+00
1.31961e+00 2.40625e+00
1.32122e+00 2.40085e+00
1.32283e+00 2.39546e+00
1.32445e+00 2.39009e+00
1.32606e+00 2.38471e+00
1.32768e+00 2.37935e+00
1.32931e+00 2.37400e+00
1.33093e+00 2.36865e+00
1.33256e+00 2.36332e+00
1.33418e+00 2.35799e+00
1.33581e+00 2.35267e+00
1.33744e+00 2.34736e+00
1.33908e+00 2.34206e+00
1.34071e+00 2.33676e+00
1.34235e+00 2.33148e+00
1.34399e+00 2.32620e+00
1.34563e+00 2.32093e+00
1.34728e+00 2.31568e+00
1.34892e+00 2.31043e+00
1.35057e+00 2.30518e+00
1.35222e+00 2.29995e+00
1.35387e+00 2.29473e+00
1.35552e+00 2.28951e+00
1.35718e+00 2.28431e+00
1.35884e+00 2.27911e+00
1.36050e+00 2.27392e+00
1.36216e+00 2.26874e+00
1.36382e+00 2.26357e+00
1.36549e+00 2.25841e+00
1.36716e+00 2.25326e+00
1.36883e+00 2.24812e+00
1.37050e+00 2.24298e+00
1.37217e+00 2.23786e+00
1.37385e+00 2.23274e+00
1.37553e+00 2.22764e+00
1.37721e+00 2.22254e+00
1.37889e+00 2.21745e+00
1.38057e+00 2.21237e+00
1.38226e+00 2.20730e+00
1.38395e+00 2.20224e+00
1.38564e+00 2.19719e+00
1.38733e+00 2.19214e+00
1.38903e+00 2.18711e+00
1.39072e+00 2.18208e+00
1.39242e+00 2.17707e+00
1.39412e+00 2.17206e+00
1.39583e+00 2.16707e+00
1.39753e+00 2.16208e+00
1.39924e+00 2.15710e+00
1.40095e+00 2.15213e+00
1.40266e+00 2.14718e+00
1.40437e+00 2.14223e+00
1.40609e+00 2.13729e+00
1.40780e+00 2.13235e+00
1.40952e+00 2.12743e+00
1.41125e+00 2.12252e+00
1.41297e+00 2.11762e+00
1.41470e+00 2.11273e+00
1.41642e+00 2.10784e+00
1.41815e+00 2.10297e+00
1.41989e+00 2.09811e+00
1.42162e+00 2.09325e+00
1.42336e+00 2.08841e+00
1.42510e+00 2.08357e+00
1.42684e+00 2.07875e+00
1.42858e+00 2.07393e+00
1.43032e+00 2.06912e+00
1.43207e+00 2.06433e+00
1.43382e+00 2.05954e+00
1.43557e+00 2.05476e+00
1.43732e+00 2.05000e+00
1.43908e+00 2.04524e+00
1.44084e+00 2.04049e+00
1.44260e+00 2.03575e+00
1.44436e+00 2.03102e+00
1.44612e+00 2.02631e+00
1.44789e+00 2.02160e+00
